序号	程序名称	文件名称	描述	能否删	说明
87	联系人存储4.1.1-2..8（联系人/通话记录）	ContactsProvider.apk	联系人存储	不可删除	　
88	腾讯手机管家模块1.0	GuardProvider.apk	腾讯手机管家模块	可删	可用第三方代替
89	蓝牙共享 4.1.1-2.12.28	Bluetooth.apk	蓝牙模块	可删	可用第三方代替
90	视频播放器 1.0	MiuiVideoPlayer	卸载后MIUI浏览器需安装插件才能在线视频	可删	可用第三方代替
91	计算器 4.1.1-2.12.28	Calculator.apk	自带计算器	可删	可用第三方代替
92	设置 4.1.1-2.12.28（壁纸/设置）	Settings.apk	MIUI 系统设置	不可删除	　
93	设置存储 4.1.1-2.12.28（设置/蓝牙）	SettingsProvider.apk	设置存储服务	不可删除	　
94	语音助手 1.5	　	语音助手	可删	可用第三方代替
95	软件包访问帮助程序4.1.1-2.12.28	DefaultContainerService.apk	软件包访问服务	不可删除	　
96	通讯录与拨号 4.1.1-2.12.28	Contacts.apk	通讯录	不可删除	　
97	防打扰 4.1.1-2.12.28	AntiSpam.apk	自带防打扰服务	可删	可用第三方代替
98	音乐 4.1.1-2.12.28	Music.apk	自带音乐播放器	建议保留	可用第三方代替
99	音乐可视化壁纸 4.1.1-2.12.28	VisualizationWallpapers.apk	动态壁纸	可删	删除失去对应功能
100	魔幻烟雾壁纸 4.1.1-2.12.28	MagicSmokeWallpapers.apk	动态壁纸	可删	删除失去对应功能
没办法排版了，有点乱，我是用钛备份删除系统程序的！！！！

补充内容 (2013-1-3 20:29):
DataHub Provider 4.1.1-2.12.28估计跟使用OTG线有关，手上没有OTG线，没办法测试，有的米友试试

补充内容 (2013-1-3 20:31):
硬件检测 4.1.1-2.12.28（cit.apk）是在拨号界面输入“*#*#64663#*#*”调出来的，删除失去对应功能 
